,명사_숫자
0,"[('제목', 1)]"
1,"[('편', 2261), ('영화', 1749), ('주지훈', 779), ('더', 752), ('스토리', 729), ('진짜', 587), ('반전', 570), ('감동', 502), ('재미', 477), ('편이', 469), ('볼', 431), ('생각', 418), ('편도', 406), ('좀', 392), ('내용', 387), ('전편', 382), ('기대', 351), ('점', 346), ('정말', 325), ('연기', 323), ('보고', 306), ('신', 305), ('사람', 285), ('그냥', 284), ('마지막', 276), ('왜', 271), ('것', 270), ('공룡', 266), ('이', 255), ('배우', 254), ('느낌', 241), ('이야기', 239), ('중간', 223), ('원작', 217), ('개인', 216), ('시간', 214), ('평점', 212), ('별로', 197), ('천만', 179), ('부분', 178), ('마동석', 178), ('역시', 177), ('정도', 172), ('신파', 171), ('저', 170), ('최고', 169), ('조금', 167), ('과거', 165), ('전개', 163), ('웹툰', 161), ('함', 160), ('난', 157), ('하정우', 152), ('이번', 151), ('거', 148), ('완전', 144), ('장면', 144), ('나', 143), ('꼭', 142), ('돈', 141), ('또', 140), ('때', 137), ('다음', 136), ('뭐', 136), ('말', 134), ('도', 133), ('나름', 133), ('차사', 131), ('노잼', 130), ('개', 129), ('듯', 128), ('임', 122), ('이해', 118), ('수', 117), ('내', 114), ('안', 113), ('그', 112), ('한국영', 110), ('수준', 110), ('알바', 109), ('대박', 109), ('억지', 106), ('번', 103), ('가족', 100), ('개연', 99), ('감독', 97), ('한국', 95), ('하나', 95), ('다시', 94), ('보기', 93), ('잼', 93), ('전', 93), ('꿀잼', 91), ('인과', 90), ('저승', 89), ('추천', 89), ('다른', 89), ('집중', 89), ('끝', 88), ('약간', 87)]"
2,"[('영화', 3138), ('감동', 986), ('눈물', 789), ('연기', 736), ('생각', 674), ('진짜', 649), ('원작', 615), ('스토리', 530), ('정말', 506), ('신파', 467), ('이', 437), ('마지막', 420), ('점', 417), ('재미', 375), ('배우', 370), ('볼', 356), ('웹툰', 349), ('기대', 349), ('좀', 348), ('사람', 344), ('보고', 331), ('것', 326), ('지옥', 309), ('그냥', 293), ('더', 292), ('내용', 288), ('왜', 270), ('평점', 270), ('천만', 268), ('차태현', 244), ('최고', 241), ('억지', 237), ('정도', 230), ('수준', 225), ('내', 223), ('한국영', 221), ('한국', 213), ('신', 208), ('엄마', 208), ('김동욱', 202), ('느낌', 199), ('거', 198), ('시간', 194), ('수', 191), ('처음', 190), ('가족', 182), ('나', 182), ('인생', 178), ('장면', 176), ('별로', 176), ('때', 175), ('말', 173), ('죄', 170), ('도', 168), ('부분', 167), ('그', 165), ('안', 164), ('만', 161), ('노잼', 155), ('중간', 154), ('신파극', 153), ('다시', 149), ('어머니', 149), ('함', 149), ('개', 148), ('편', 148), ('울', 147), ('판타지', 146), ('부모님', 146), ('돈', 144), ('꼭', 143), ('듯', 141), ('관객', 141), ('번', 136), ('한번', 136), ('하나', 133), ('임', 132), ('끝', 128), ('조금', 128), ('우리나라', 127), ('펑펑', 127), ('저', 127), ('뭐', 127), ('하정우', 126), ('못', 122), ('또', 122), ('개연', 120), ('걸', 119), ('캐릭터', 115), ('진심', 113), ('보기', 110), ('추천', 107), ('연출', 106), ('이상', 106), ('소재', 106), ('이해', 105), ('완전', 104), ('작품', 104), ('때문', 102), ('발전', 102)]"
3,"[('영화', 4825), ('꼭', 1208), ('그', 787), ('역사', 780), ('가슴', 769), ('정말', 730), ('감동', 590), ('생각', 577), ('것', 539), ('우리', 522), ('이', 519), ('시대', 499), ('지금', 477), ('눈물', 474), ('사람', 459), ('배우', 385), ('수', 377), ('진짜', 376), ('최고', 372), ('국민', 370), ('대한민국', 347), ('때', 341), ('연기', 333), ('민주주의', 326), ('더', 315), ('보고', 294), ('분', 289), ('마음', 268), ('말', 267), ('다시', 260), ('한번', 256), ('희생', 248), ('전두환', 224), ('모두', 223), ('점', 220), ('내', 219), ('기억', 213), ('시절', 212), ('모든', 212), ('감사', 210), ('알', 208), ('라면', 204), ('마지막', 197), ('민주화', 183), ('번', 181), ('살', 179), ('위해', 177), ('추천', 175), ('나라', 170), ('강동원', 168), ('사실', 167), ('열사', 165), ('시간', 164), ('재미', 159), ('그냥', 157), ('볼', 149), ('처음', 148), ('세상', 148), ('저', 146), ('진실', 145), ('왜', 144), ('내내', 141), ('우리나라', 140), ('과거', 139), ('또', 136), ('그때', 134), ('이한열', 134), ('연출', 132), ('당시', 132), ('내용', 130), ('박종철', 130), ('하나', 129), ('년', 128), ('평점', 127), ('장면', 127), ('감독', 121), ('여운', 120), ('나', 120), ('엔딩크레딧', 118), ('일', 110), ('정치', 106), ('영화로', 106), ('이야기', 106), ('느낌', 106), ('자유', 104), ('만', 101), ('빨갱이', 99), ('독재', 98), ('엔딩', 97), ('인생', 96), ('한국', 96), ('현실', 95), ('제', 95), ('안', 95), ('실화', 94), ('작품', 92), ('사건', 89), ('보아', 89), ('듯', 88), ('현재', 87)]"
4,"[('영화', 3032), ('연기', 2636), ('배우', 1911), ('김주혁', 1040), ('진짜', 750), ('스토리', 607), ('연기력', 604), ('결말', 565), ('류준열', 549), ('정말', 524), ('반전', 496), ('조진웅', 436), ('이', 435), ('생각', 423), ('최고', 396), ('좀', 390), ('선생', 388), ('내용', 384), ('볼', 382), ('세', 366), ('시간', 352), ('점', 328), ('마지막', 322), ('장면', 318), ('것', 312), ('왜', 312), ('관람', 310), ('더', 310), ('그냥', 299), ('마약', 284), ('재미', 276), ('보고', 274), ('감독', 269), ('자극', 256), ('청불', 250), ('느낌', 244), ('말', 224), ('또', 220), ('몰입', 218), ('정도', 214), ('캐릭터', 213), ('진서연', 205), ('거', 203), ('평점', 200), ('대박', 199), ('류준', 196), ('사람', 189), ('연출', 185), ('하나', 185), ('한국영', 176), ('부분', 175), ('개연', 172), ('다시', 171), ('수', 169), ('듯', 167), ('별로', 167), ('임', 165), ('차승원', 158), ('처음', 154), ('뭐', 148), ('그', 148), ('끝', 145), ('돈', 144), ('청', 138), ('때', 137), ('예상', 136), ('조금', 135), ('몰입도', 134), ('긴장감', 133), ('중간', 132), ('전개', 128), ('역시', 127), ('만', 125), ('감', 125), ('나', 124), ('함', 124), ('한국', 123), ('이해', 123), ('누가', 120), ('기대', 120), ('번', 119), ('내', 118), ('뭔가', 115), ('모두', 115), ('때문', 110), ('소름', 110), ('고', 106), ('인상', 106), ('꼭', 104), ('개', 103), ('알', 103), ('저', 102), ('수준', 102), ('약', 101), ('작품', 100), ('완전', 99), ('초반', 99), ('보기', 98), ('여운', 98), ('주연', 96)]"
5,"[('영화', 4363), ('연기', 1528), ('정치', 921), ('배우', 890), ('이성민', 792), ('북한', 783), ('진짜', 564), ('점', 528), ('생각', 488), ('실화', 445), ('이', 431), ('것', 427), ('평점', 423), ('정말', 394), ('사실', 371), ('볼', 369), ('색', 365), ('연기력', 359), ('선동', 357), ('사람', 356), ('황정민', 351), ('최고', 349), ('내용', 338), ('미화', 334), ('긴장감', 317), ('정권', 313), ('그냥', 300), ('좀', 291), ('액션', 286), ('보고', 284), ('말', 273), ('더', 273), ('재미', 260), ('스토리', 256), ('돈', 240), ('감동', 224), ('좌파', 216), ('그', 215), ('시간', 204), ('빨갱이', 202), ('사건', 202), ('거', 201), ('꼭', 199), ('보수', 197), ('뭐', 197), ('감독', 196), ('김대중', 191), ('수', 188), ('테러', 187), ('왜', 183), ('하나', 175), ('역사', 171), ('픽션', 169), ('마지막', 169), ('역시', 168), ('바탕', 165), ('쓰레기', 164), ('국민', 164), ('댓글', 164), ('몰입', 159), ('때', 158), ('알', 158), ('영화로', 155), ('알바', 151), ('정도', 151), ('임', 147), ('팩트', 147), ('개', 145), ('우리', 144), ('한국', 138), ('감', 135), ('흑금', 135), ('어디', 135), ('장면', 133), ('자체', 130), ('나라', 129), ('실제', 128), ('우리나라', 124), ('김정일', 124), ('현실', 123), ('때문', 122), ('좌편향', 122), ('노잼', 119), ('조금', 118), ('처음', 118), ('연출', 117), ('느낌', 116), ('만', 111), ('주지훈', 111), ('저', 109), ('위해', 108), ('듯', 107), ('위', 106), ('걸', 105), ('부분', 105), ('이야기', 103), ('첩보', 103), ('한번', 102), ('이건', 101), ('끝', 101)]"
6,"[('영화', 2847), ('조인성', 1237), ('연기', 1056), ('최고', 910), ('전쟁', 815), ('정말', 762), ('전투씬', 744), ('진짜', 737), ('배우', 654), ('설현', 652), ('볼', 536), ('감동', 523), ('스토리', 499), ('생각', 471), ('역사', 456), ('씬', 411), ('점', 405), ('장면', 391), ('시간', 386), ('전쟁씬', 378), ('좀', 357), ('투신', 356), ('더', 345), ('액션', 317), ('것', 307), ('양만춘', 301), ('고구려', 297), ('전투', 295), ('꼭', 291), ('이', 284), ('보고', 280), ('목소리', 278), ('왜', 271), ('한국영', 259), ('기대', 251), ('정도', 243), ('신', 242), ('사극', 233), ('그냥', 233), ('연기력', 231), ('평점', 230), ('재미', 214), ('몰입', 212), ('말', 207), ('내용', 205), ('때', 205), ('사람', 202), ('함', 194), ('스케일', 193), ('추천', 190), ('한국', 186), ('하나', 183), ('느낌', 182), ('남주혁', 182), ('임', 177), ('캐릭터', 174), ('안', 174), ('듯', 170), ('돈', 167), ('조금', 166), ('전쟁영화', 164), ('중간', 164), ('연출', 163), ('대박', 162), ('처음', 160), ('중', 160), ('거', 159), ('만', 157), ('역대', 156), ('그', 154), ('또', 153), ('다시', 149), ('별로', 148), ('한번', 148), ('감', 145), ('부분', 142), ('녀', 138), ('수', 138), ('이상', 136), ('완전', 136), ('대사', 128), ('알바', 127), ('캐스팅', 126), ('나', 124), ('번', 121), ('우리', 118), ('굿', 117), ('집중', 115), ('전개', 114), ('저', 114), ('성주', 112), ('모두', 112), ('눈', 110), ('대안', 110), ('감독', 108), ('내', 107), ('뭐', 106), ('때문', 106), ('장군', 104), ('영화관', 104)]"
7,"[('영화', 4200), ('연기', 2993), ('감동', 2173), ('이병헌', 1816), ('배우', 1419), ('박정민', 1181), ('진짜', 889), ('정말', 889), ('피아노', 799), ('최고', 756), ('스토리', 664), ('눈물', 504), ('연기력', 495), ('재미', 390), ('말', 362), ('생각', 355), ('만', 337), ('내용', 336), ('역시', 335), ('윤여정', 333), ('것', 324), ('가족', 302), ('그냥', 280), ('이', 277), ('꼭', 273), ('점', 271), ('대박', 263), ('볼', 262), ('보고', 257), ('더', 254), ('추천', 246), ('웃음', 241), ('신파', 235), ('모두', 225), ('한지민', 224), ('엄마', 221), ('평점', 218), ('마음', 215), ('그', 214), ('때', 212), ('연주', 210), ('하나', 202), ('가슴', 194), ('울', 193), ('장면', 181), ('수', 181), ('정도', 178), ('사람', 174), ('음악', 174), ('진태', 172), ('마지막', 164), ('연출', 151), ('시간', 150), ('처음', 149), ('좀', 144), ('느낌', 141), ('병헌', 140), ('인생', 140), ('간만', 138), ('왜', 137), ('굿', 137), ('내', 135), ('다시', 134), ('다가', 134), ('기대', 128), ('또', 127), ('중간', 125), ('코믹', 124), ('듯', 121), ('소름', 121), ('번', 120), ('한번', 119), ('모든', 117), ('한국영', 112), ('임', 109), ('몰입', 108), ('완전', 106), ('짱', 106), ('신', 105), ('나', 103), ('안', 103), ('보기', 103), ('그것', 102), ('세상', 102), ('여운', 102), ('연기자', 101), ('거', 100), ('뭐', 98), ('부분', 98), ('작품', 97), ('이야기', 96), ('전개', 95), ('웃기', 95), ('자체', 94), ('박수', 94), ('한국', 91), ('아주', 90), ('함', 90), ('억지', 87), ('드라마', 86)]"
8,"[('영화', 2868), ('연기', 1675), ('액션', 1179), ('진짜', 1088), ('다미', 960), ('김', 917), ('기대', 727), ('배우', 710), ('반전', 542), ('스토리', 538), ('정말', 482), ('최고', 477), ('편', 476), ('점', 471), ('주인공', 426), ('한국영', 413), ('대박', 389), ('좀', 371), ('생각', 360), ('한국', 356), ('평점', 334), ('볼', 333), ('대사', 329), ('이', 316), ('더', 315), ('왜', 286), ('연기력', 273), ('사람', 271), ('꼭', 271), ('것', 271), ('보고', 268), ('신인', 265), ('정도', 259), ('느낌', 256), ('그냥', 248), ('편이', 244), ('최우식', 240), ('중', 238), ('내용', 237), ('소름', 237), ('재미', 216), ('처음', 211), ('다음', 211), ('시간', 203), ('안', 203), ('임', 200), ('알바', 199), ('이상', 196), ('말', 192), ('여주', 189), ('완전', 189), ('거', 183), ('매력', 180), ('후반', 178), ('감독', 177), ('뭐', 176), ('초반', 176), ('캐릭터', 174), ('조민수', 171), ('몰입', 170), ('장면', 166), ('연출', 166), ('만', 163), ('속편', 161), ('부분', 159), ('함', 158), ('중간', 155), ('번', 153), ('개', 152), ('때', 151), ('굿', 150), ('듯', 149), ('나', 148), ('신', 145), ('내', 144), ('후속작', 141), ('하나', 139), ('우리나라', 138), ('조금', 137), ('꿀잼', 137), ('그', 137), ('친구', 136), ('또', 134), ('돈', 134), ('전개', 133), ('수', 132), ('설명', 131), ('소재', 130), ('봄', 130), ('애', 128), ('마지막', 126), ('간만', 122), ('시리즈', 120), ('난', 119), ('씬', 116), ('부', 115), ('병', 112), ('감', 110), ('영어', 109), ('걸', 108)]"
9,"[('영화', 1678), ('이광수', 1062), ('진짜', 979), ('편', 656), ('광수', 609), ('더', 433), ('꼭', 430), ('권상우', 420), ('재미', 406), ('연기', 391), ('볼', 379), ('평점', 376), ('생각', 375), ('성동일', 372), ('탐정', 359), ('보고', 348), ('정말', 329), ('스토리', 323), ('기대', 308), ('점', 300), ('그냥', 300), ('웃음', 292), ('배우', 257), ('꿀잼', 236), ('코믹', 235), ('추천', 232), ('시간', 232), ('역시', 224), ('편도', 223), ('완전', 220), ('알바', 219), ('보기', 209), ('만', 205), ('웃기', 200), ('최고', 198), ('추리', 188), ('정도', 184), ('빵빵', 178), ('잼', 169), ('사람', 163), ('좀', 158), ('이', 156), ('이상', 156), ('내용', 154), ('것', 151), ('대박', 150), ('돈', 148), ('코미디', 146), ('시리즈', 145), ('킬링타임', 144), ('용', 142), ('거', 140), ('케미', 140), ('수', 137), ('중간', 137), ('계속', 136), ('가족', 135), ('처음', 131), ('간만', 131), ('안', 124), ('함', 123), ('또', 121), ('전편', 117), ('이번', 115), ('듯', 114), ('하드캐리', 114), ('저', 113), ('도', 113), ('개', 112), ('편이', 111), ('때', 110), ('별로', 109), ('대안', 100), ('왜', 96), ('부분', 96), ('임', 93), ('장면', 92), ('초반', 91), ('짱', 90), ('나', 89), ('캐리', 89), ('한국영', 88), ('강추', 88), ('다음', 86), ('영화관', 86), ('한국', 85), ('끝', 85), ('내내', 84), ('조금', 81), ('굿', 81), ('개그', 80), ('마지막', 80), ('캐릭터', 78), ('리턴즈', 77), ('한번', 76), ('기분', 76), ('느낌', 72), ('재밋', 72), ('후회', 72), ('말', 71)]"
10,"[('영화', 3739), ('첫사랑', 1197), ('김영광', 1020), ('박보영', 986), ('진짜', 776), ('사랑', 727), ('생각', 724), ('연기', 512), ('정말', 441), ('현실', 435), ('점', 358), ('더', 354), ('평점', 344), ('여운', 343), ('그냥', 335), ('추억', 334), ('보고', 328), ('것', 326), ('사람', 311), ('내', 306), ('그', 296), ('남자', 294), ('스토리', 292), ('공감', 287), ('타이밍', 286), ('이', 280), ('건축학개론', 275), ('시절', 269), ('결말', 267), ('배우', 265), ('볼', 258), ('때', 256), ('마음', 245), ('인생', 244), ('최고', 242), ('나', 241), ('내용', 239), ('재미', 231), ('느낌', 221), ('수', 220), ('좀', 219), ('중간', 211), ('친구', 211), ('만', 202), ('시간', 200), ('말', 198), ('우리', 196), ('마지막', 196), ('다시', 182), ('여자', 179), ('장면', 176), ('꼭', 174), ('이야기', 169), ('감동', 168), ('정도', 167), ('소녀', 165), ('추천', 165), ('또', 163), ('한번', 159), ('연애', 158), ('듯', 156), ('보기', 155), ('가슴', 153), ('거', 153), ('로맨스', 153), ('너', 151), ('왜', 149), ('기대', 149), ('번', 140), ('별로', 138), ('처음', 138), ('기억', 137), ('부분', 137), ('감정', 127), ('기분', 126), ('저', 126), ('웃기', 119), ('임', 118), ('결혼', 116), ('내내', 115), ('케미', 114), ('끝', 112), ('돈', 109), ('웃음', 109), ('하나', 107), ('개', 106), ('완전', 103), ('계속', 103), ('안', 102), ('역시', 102), ('이해', 100), ('주인공', 100), ('둘', 97), ('함', 96), ('눈물', 94), ('환승', 91), ('지금', 88), ('한국', 88), ('몰입', 88), ('달달', 84)]"
11,"[('영화', 2382), ('공포영화', 1355), ('진짜', 1098), ('공포', 777), ('귀신', 616), ('사람', 536), ('한국', 461), ('더', 440), ('돈', 432), ('그냥', 416), ('소리', 402), ('무서움', 393), ('개', 391), ('보고', 372), ('생각', 365), ('이', 360), ('노잼', 335), ('좀', 334), ('정도', 332), ('때', 328), ('스토리', 321), ('배우', 316), ('정말', 312), ('거', 310), ('점', 309), ('볼', 308), ('처음', 298), ('연기', 292), ('평점', 292), ('별로', 277), ('뭐', 269), ('것', 263), ('안', 261), ('하나', 259), ('장면', 248), ('내', 246), ('왜', 234), ('느낌', 230), ('눈', 226), ('임', 221), ('나', 221), ('알바', 216), ('혼자', 213), ('재미', 204), ('마지막', 198), ('중간', 196), ('시간', 189), ('진심', 188), ('중', 186), ('그', 185), ('내용', 179), ('끝', 177), ('최고', 175), ('함', 175), ('부분', 174), ('초반', 173), ('샬롯', 170), ('후반', 167), ('듯', 163), ('연출', 162), ('영화관', 155), ('감독', 155), ('호', 155), ('제일', 148), ('말', 146), ('저', 144), ('감', 143), ('레이브', 142), ('카운터', 135), ('걸', 135), ('팝콘', 134), ('봄', 132), ('이건', 132), ('집', 130), ('도', 128), ('최악', 127), ('역대', 125), ('계속', 123), ('보지', 122), ('애', 121), ('때문', 118), ('다큐', 116), ('기담', 116), ('긴장감', 116), ('부', 114), ('인', 112), ('수', 112), ('한국영', 112), ('여자', 111), ('기대', 108), ('몰입', 108), ('수준', 107), ('소름', 106), ('나름', 104), ('급식', 104), ('결말', 103), ('개인', 102), ('존나', 102), ('스크린', 102), ('친구', 100)]"
12,"[('영화', 4096), ('원작', 1786), ('감동', 1384), ('손예진', 1279), ('진짜', 900), ('소지섭', 748), ('정말', 738), ('연기', 700), ('눈물', 666), ('더', 558), ('사랑', 500), ('배우', 495), ('최고', 474), ('여운', 458), ('보고', 458), ('생각', 441), ('꼭', 372), ('일본', 369), ('만', 357), ('인생', 339), ('웃기', 311), ('것', 300), ('멜로', 294), ('리메이크', 293), ('사람', 290), ('재미', 289), ('마음', 284), ('한국', 282), ('그냥', 277), ('또', 249), ('이', 247), ('다시', 243), ('스토리', 233), ('울', 232), ('처음', 231), ('감성', 230), ('점', 229), ('때', 227), ('느낌', 227), ('가슴', 226), ('장면', 217), ('볼', 217), ('추천', 210), ('수', 210), ('평점', 208), ('펑펑', 205), ('웃음', 203), ('번', 192), ('나', 189), ('내', 187), ('마지막', 187), ('중간', 187), ('역시', 182), ('좀', 181), ('내용', 177), ('부분', 177), ('말', 177), ('지금', 170), ('저', 169), ('안', 168), ('한번', 167), ('정도', 164), ('시간', 164), ('가족', 160), ('엄마', 158), ('거', 154), ('한국판', 150), ('판', 149), ('작품', 146), ('기대', 145), ('왜', 144), ('이야기', 143), ('계속', 141), ('그', 138), ('내내', 136), ('비교', 133), ('아들', 129), ('슬픔', 126), ('보기', 124), ('듯', 121), ('간만', 121), ('개인', 119), ('로맨스', 118), ('감정', 114), ('코믹', 114), ('아이', 112), ('완전', 110), ('몰입', 109), ('기도', 109), ('봄', 108), ('명작', 105), ('하나', 104), ('조금', 103), ('요소', 102), ('이상', 101), ('함', 100), ('이건', 97), ('제', 93), ('눈', 93), ('분', 92)]"
